제목,내용,기자,날짜
"아쿠아 시큐리티, ‘아쿠아 SW 공급망 보안 솔루션’ 출시","선도적인 순수 클라우드 네이티브 보안업체 아쿠아 시큐리티(Aqua Security, 이하 ‘아쿠아’)가 업계 최초이자 유일한 엔드투엔드(End-to-End...",김영명 기자,2022년 10월 25일 10:32
"KETI, 인공지능 기반 실시간 이미지 초고해상화 세계 대회서 1위 쾌거",한국전자기술연구원(KETI)은 지난 23일 이스라엘 텔아비브에서 온라인으로 개최된 인공지능(AI) 기반 실시간 이미지 초고해상화 국제 대회에서 우승을 차지...,박미영 기자,2022년 10월 25일 10:20
범죄 현장의 CCTV 속 ‘흐릿한’ 눈·코·입.... AI로 한층 ‘또렷이’ 인식한다,지스트(광주과학기술원) 연구진이 인공지능(AI) 딥러닝 기술을 적용해 저화질 영상에서도 눈·코·입 등 사람 얼굴의 주요 특징을 잘 인식할 수 있는 기술을 ...,박미영 기자,2022년 10월 25일 09:42
"지질자원연, 데이터 및 AI 전문가 양성 본격화",한국지질자원연구원(KIGAM)은 지질자원 연구데이터 공유·활용 활성화 및 인공지능생태계 조성 기반 아이디어 창출을 위한 ‘2022 지질자원 데이터 활용 및...,박미영 기자,2022년 10월 25일 09:35
"구리시, 2022년 찾아가는 산하기관 개인정보보호 컨설팅 실시",구리시는 지난 21일 5개 산하기관을 대상으로 ‘찾아가는 개인정보보호 컨설팅’ 추진 계획을 발표했다. 이번 개인정보보호 컨설팅 사업은 산하기관이 보유한 개...,박미영 기자,2022년 10월 25일 09:31
"대우조선해양, 선박·함정 사이버보안 기술 국산화 나선다",대우조선해양은 고려대 정보보호대학원이 지난 21일 개최한 ‘2022 스마트모빌리티 세미나’에서 ‘2024년 선박 사이버보안 의무화 규정에 대한 국산화 개발...,박미영 기자,2022년 10월 25일 09:16
국내 최대 규모 ‘2022 사이버공격방어대회’ 개최,"대구시는 국가정보원, 국가보안기술연구소, 경북도와 함께 오는 27일부터 ‘2022 사이버공격방어대회(Cyber Conflict Exercise)’를 대구 ...",박미영 기자,2022년 10월 25일 09:14
"대전교육청, 사이버테러 대비 점검 및 보안 관리 내실화","대전시교육청은 각급 학교의 보안 업무 이행 실태 점검을 통해 보안의 중요성을 인식하고 학교 보안기강을 확립하기 위해 고등학교, 특수학교를 대상으로 하반기 ...",박미영 기자,2022년 10월 25일 09:10
"안산도시공사, ‘범죄 예방 우수 공영주차장’ 34개소로 증가",안산도시공사가 운영하는 공영주차장 18개소가 경찰로부터 범죄 예방 우수 주차장 인증을 획득했다. 공사는 상록수역환승주차장(180개면) 등 상록구 내 공영주...,박미영 기자,2022년 10월 25일 09:07
"인천시, 퀘벡을 만나다... ‘2022 IFEZ 스마트시티 국제심포지엄’ 개최","인천경제자유구역청은 ‘2022 IFEZ 스마트시티 국제 심포지엄’을 25일 개최한다. 이번 심포지엄은 ‘인천, 퀘벡을 만나다’를 슬로건으로 인천과 퀘벡의 ...",박미영 기자,2022년 10월 25일 09:03
"서울시-호반건설, 스토킹범죄 피해자 등에 디지털 도어록 150대 지원",서울시와 호반건설이 스토킹범죄 피해 예방을 위해 즉시 잠김 기능이 장착된 디지털 도어록 150대를 시민들에게 지원한다. 이와 관련해 서울시는 지난 24일 ...,박미영 기자,2022년 10월 25일 09:00
"서울시, ‘서울디지털금융페스티벌’ 사전등록 시작","서울시는 글로벌 디지털금융 전문가와 금융기관 관계자, 국내외 빅테크(거대 정보 기술)·핀테크(금융 기술) 기업과 투자자 등 디지털 금융인들이 한자리에 모이...",박미영 기자,2022년 10월 25일 08:58
"소방청, 항공기 사고 합동 수색구조훈련 실시",소방청은 25일 논산시 강경읍 황산대교 일원에서 항공기 추락사고 발생을 가정한 ‘2022년도 육상 항공기 사고 합동 수색구조훈련’을 실시한다.,박미영 기자,2022년 10월 25일 08:53
"광주시, 한국마이크로소프트 혁신허브 설립 본격화",광주시가 중소·중견 및 스타트업의 역량 강화와 해외 진출을 지원하기 위한 창업 공간인 ‘한국마이크로소프트 혁신허브’ 설립을 본격화한다. 광주시는 지난 20...,박미영 기자,2022년 10월 25일 08:46
"산업부, ‘새정부 소부장 정책 방향’에 발맞춘 ‘소부장 으뜸기업’ 선정 추진","산업통상자원부는 ‘소부장 으뜸기업 3기 선정 계획’을 25일부터 공고하고, 반도체·디스플레이 등 7개 분야의 소부장 으뜸기업을 추가 선정해 기술개발·사업화...",박미영 기자,2022년 10월 25일 08:45
호흡으로 사람 구별하는 생체인식 기술 상용화 가능할까?,야나기다 타케시 일본 규슈대 통합재료학 및 공학연구소 교수는 도쿄대와 협력해 인간의 호흡에서 뿜어져 나온 화합물을 분석해 개인을 식별할 수 있는 후각 센터...,김영명 기자,2022년 10월 24일 18:05
"키스톤시큐리티, 암호화 솔루션 AMOA에 블록체인 암호 알고리즘 SM4 추가",국내 보안 기업 키스톤시큐리티 연구소는 자사의 암호화 솔루션 제품(AMOA)에 국내 최초로 중국 전국 무선랜에서 사용하는 블록체인 암호 알고리즘 SM4를 ...,김영명 기자,2022년 10월 24일 17:54
"라쿤 스틸러 악성코드, 버전2로 업그레이드해 3년 만에 재등장 ",인포스틸러 악성코드 중 하나인 라쿤 스틸러(Raccoon Stealer)가 2019년 처음으로 등장한 이후 3년여만에 Raccoon Stealer v2로 ...,김영명 기자,2022년 10월 24일 17:26
한화에어로스페이스 및 한화디펜스 2023년 정기 임원 인사 실시,한화에어로스페이스 전략부문과 사업부문 및 한화디펜스는 24일 2023년도 정기 임원 인사를 실시했다. 한화에어로스페이스 관계자는 “글로벌 전략 실행 및 신...,엄호식 기자,2022년 10월 24일 17:25
"공격자들, 비밀번호 대입 공격할 때 머리 많이 쓰지 않는다",두 가지 유형의 흔한 서버들을 표적으로 한 크리덴셜 기반 공격 수천만 건을 분석했더니 두 손에 꼽을 수 있을 정도의 비밀번호들로부터 비롯된다는 사실이 드러...,문가용 기자,2022년 10월 24일 16:51
[2022 국감] 공공기관 개인정보 유출사고↑ 처분기관·조사인력↓,공공기관의 개인정보 유출사고가 늘어나고 있지만 이에 대한 처분과 조사인력은 제자리걸음을 하고 있다는 지적이 나왔다. 국회 정무위원회 소속 이용우 의원(더불...,원병철 기자,2022년 10월 24일 16:31
[한국정보보호학회 칼럼] 보안교육과 게이미피케이션,‘재미없고 어려운 보안교육’의 형상을 슬기롭게 전환하기 위한 방법으로 ‘보안 게이미피케이션(Security Gamification)’을 제안한다. 이는 보...,원병철 기자,2022년 10월 24일 13:23
"시간과 노력을 줄이고도 더 안전하게, MS Security의 지향점 ","“복잡한 보안을 단순화하고, TI와 AI, 자동화를 통해 위협을 감소시킨 후, 운영 효율성을 통해 더 잘 보호할 수 있는 환경을 만드는 것, 바로 MS가 ...",원병철 기자,2022년 10월 24일 13:17
이란 핵 시설에서 정체 모를 해커들의 침투 발견돼,외신 워싱턴포스트에 의하면 아직 정체를 알 수 없는 해킹 단체가 이란 핵 시설에 침투했음을 이란 정부가 공개했다고 한다. 해킹에 노출된 것은 이란의 원자력...,문가용 기자,2022년 10월 24일 12:14
